Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Russell 1000 Value Index Mini",Future,Equity,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,8480,16140
"Russell 2000 Index (RUT)",Option,Equity,"C2 Exchange",C2,"United States","North America",2017,7,2017-7,161536,NULL
"Russell 2000 Index (RUT)",Option,Equity,"Chicago Board Options Exchange",CBOE,"United States","North America",2017,7,2017-7,994284,NULL
"Russell 2000 Index (RUT)",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,506568
"Russell 2000 Mini Index",Future,Equity,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,1959234,574665
"Russell 2000 Mini Index",Option,Equity,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,3056,3170
"Russell 2000 Volatility Index (RVX)",Future,Other,"CBOE Futures Exchange",CFE,"United States","North America",2017,7,2017-7,374,225
"Russell 2000 Volatility Index (RVX)",Option,Other,"Chicago Board Options Exchange",CBOE,"United States","North America",2017,7,2017-7,184,NULL
"Russell UK MID 150 NTR Index",Future,Equity,"ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,3334,38986
"Russian Market Volatility",Future,Other,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,3823,2236
"Russian Ruble",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,29049,34988
"S&P 100 (European Style) (XEO)",Option,Equity,"Chicago Board Options Exchange",CBOE,"United States","North America",2017,7,2017-7,2574,NULL
"S&P 100 Index (American Style) (OEX)",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,12041
"S&P 100 Index (European Style) (XEO)",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,3825
"S&P 500 (SPF)",Future,Equity,"Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,7,2017-7,5016,541
"S&P 500 Index",Future,Equity,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,52266,89687
"S&P 500 Index",Future,Equity,"National Stock Exchange of India",NSE,India,Asia,2017,7,2017-7,8323,3243
"S&P 500 Index",Option,Equity,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,147927,114002
"S&P 500 Index (SPX)",Option,Equity,"Chicago Board Options Exchange",CBOE,"United States","North America",2017,7,2017-7,19965064,NULL
"S&P 500 Index (SPX)",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,13611719
"S&P 500 Twelve-Month Variance (IIK)",Future,Other,"CBOE Futures Exchange",CFE,"United States","North America",2017,7,2017-7,2094,0
"S&P BSE Sensex 50 Index",Future,Equity,"India International Exchange",INX,India,Asia,2017,7,2017-7,52684,222
"S&P Canada 60 Index (SXO) (incl. LEAPS)",Option,Equity,"Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,23991,86936
"S&P Citigroup Growth",Future,Equity,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,6,21
"S&P Citigroup Value",Future,Equity,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,25534,92908
"S&P GSCI",Future,Other,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,35933,15121
"S&P GSCI Enhanced ER Swap",Future,Other,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,0,17033
"S&P GSCI Excess Return",Future,Other,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,3069,54405
"S&P Sensex Index",Future,Equity,"Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,7,2017-7,13030,1452
"S&P Sensex Index (BSX)",Future,Equity,BSE,"BSE India",India,Asia,2017,7,2017-7,4165,110
"S&P/ASX 200 A-REIT Index",Future,Equity,"ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,3333,7744
"S&P/ASX 200 Financials-x-A-REIT Index",Future,Equity,"ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,68,2
"S&P/ASX 200 Resources Index",Future,Equity,"ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,52,4
"S&P/ASX Index",Future,Equity,ASX,ASX,Australia,Asia,2017,7,2017-7,1515,1176
"S&P/ASX Index",Option,Equity,ASX,ASX,Australia,Asia,2017,7,2017-7,936825,749609
"S&P/MIB Index",Future,Equity,"Borsa Italiana (IDEM)",IDEM,Italy,Europe,2017,7,2017-7,451228,36046
"S&P/MIB Index",Option,Equity,"Borsa Italiana (IDEM)",IDEM,Italy,Europe,2017,7,2017-7,134366,362381
"S&P/TSX 60 Index Mini (SXM)",Future,Equity,"Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,6982,1013
"S&P/TSX 60 Index Standard (SXF)",Future,Equity,"Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,305265,246115
"S&P/TSX Composite Index Mini (SCF)",Future,Equity,"Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,5,5
Salmon,Future,Agriculture,"Nasdaq Commodities",NOC,Sweden,Europe,2017,7,2017-7,8715,40905
"San Juan Natural Gas (Platts IFERC) Basis (NJ)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,2040,26340
"San Juan Natural Gas (Platts IFERC) Pipe (PJ)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,180,4640
Schatz,Future,"Interest Rates",CurveGlobal,CG,"United Kingdom",Europe,2017,7,2017-7,365,80
"Semiconductor Index (SOX)",Option,Equity,"Nasdaq PHLX",PHLX,"United States","North America",2017,7,2017-7,295,NULL
"Semiconductor Index (SOX)",Option,Equity,OCC,OCC,"United States","North America",2017,7,2017-7,NULL,648
SET50,Future,Equity,"Thailand Futures Exchange",TFEX,Thailand,Asia,2017,7,2017-7,1326523,370186
SET50,Option,Equity,"Thailand Futures Exchange",TFEX,Thailand,Asia,2017,7,2017-7,104348,101742
SGD/CNH,Future,Currencies,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,15,10
"SGX CNX Nifty Banks Index",Future,Equity,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,67931,2701
"SGX CNX Nifty Index",Future,Equity,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,1870408,416569
"SGX CNX Nifty Index",Option,Equity,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,12135,32858
"Shanghai 50 Index",Future,Equity,"China Financial Futures Exchange",CFFEX,China,Asia,2017,7,2017-7,256940,25106
"Shanghai Gold",Future,Metals,"Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,7,2017-7,1743,138
Share,Future,Equity,"Montreal Exchange",MX,Canada,"North America",2017,7,2017-7,27619,124108
"Shekel-Dollar Rate",Option,Currencies,"Tel-Aviv Stock Exchange",TASE,Israel,Other,2017,7,2017-7,1326485,499370
"Shekel-Euro Rate",Option,Currencies,"Tel-Aviv Stock Exchange",TASE,Israel,Other,2017,7,2017-7,20046,35148
"Short Gilt",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,606,1672
"Short Term Bond",Future,"Interest Rates","Warsaw Stock Exchange",WSE,Poland,Europe,2017,7,2017-7,0,3
"Short Term Euro-BTP",Future,"Interest Rates",Eurex,EUREX,Germany,Europe,2017,7,2017-7,734462,223328
"SICOM RSS3 Rubber",Future,Agriculture,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,5551,5307
"SICOM TSR20 Rubber",Future,Agriculture,"Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,128360,66541
"Silicon Manganese",Future,Metals,"Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,7,2017-7,1665141,62905
Silver,Future,Metals,"Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,7,2017-7,2934,292
Silver,Future,Metals,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,0,20
Silver,Future,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,11109,2246
Silver,Future,Metals,"Multi Commodity Exchange of India",MCX,India,Asia,2017,7,2017-7,404253,18774
Silver,Future,Metals,"Shanghai Futures Exchange",SHFE,China,Asia,2017,7,2017-7,5715277,310130
Silver,Future,Metals,"Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,7,2017-7,1678,1928
Silver,Option,Metals,"North American Derivative Exchange",NADEX,"United States","North America",2017,7,2017-7,4245,NULL
"Silver (1,000 oz) (SIL)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,5431,1150
"Silver (5,000 oz) (SI)",Future,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,1829718,208072
"Silver (SO)",Option,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,131387,115501
"Silver 10 oz",Future,Metals,"Pakistan Mercantile Exchange",PMEX,Pakistan,Asia,2017,7,2017-7,11196,719
"Silver 100 oz",Future,Metals,"Pakistan Mercantile Exchange",PMEX,Pakistan,Asia,2017,7,2017-7,5083,618
"Silver 500 oz",Future,Metals,"Pakistan Mercantile Exchange",PMEX,Pakistan,Asia,2017,7,2017-7,1940,94
"Silver M",Future,Metals,"Multi Commodity Exchange of India",MCX,India,Asia,2017,7,2017-7,635897,18018
"Silver MIC",Future,Metals,"Multi Commodity Exchange of India",MCX,India,Asia,2017,7,2017-7,1057741,45052
"Silver Weekly Wk 1 (SO1)",Option,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,14,14
"Silver Weekly Wk 2 (SO2)",Option,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,24,0
"Silver Weekly Wk 4 (SO4)",Option,Metals,"Commodity Exchange (COMEX)",COMEX,"United States","North America",2017,7,2017-7,17,0
"Singapore Fuel Oil 180 CST (Platts) (UA)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,963,1801
"Singapore Fuel Oil 180 CST (Platts) 6.35 Dubai (Platts) Crack Spread (STS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,420,1310
"Singapore Fuel Oil 180 CST (Platts) Balance of the Month (BS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,50,50
"Singapore Fuel Oil 180 CST (Platts) vs. 380 CST (Platts) (SD)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,763,1516
"Singapore Fuel Oil 380 CST (Platts) (SE)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,6317,11217
"Singapore Fuel Oil 380 CST (Platts) 6.35 Dubai (Platts) Crack Spread (STI)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,32
"Singapore Fuel Oil 380 CST (Platts) Average Price (8H)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,300
"Singapore Fuel Oil 380 CST (Platts) Balance of the Month (BT)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,146,146
"Singapore Fuel Oil 380 CST (Platts) Brent Crack Spread (1000 MT) (SF3)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,9
"Singapore Fuel Oil 380 CST (Platts) vs. European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (EVC)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,1368,6011
"Singapore Gasoil (Platts) (SG)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,9669,18477
"Singapore Gasoil (Platts) Average Price (M2)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,150
"Singapore Gasoil (Platts) Balance of the Month (VU)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,233,233
"Singapore Gasoil (Platts) vs. Low Sulphur Gasoil (GA)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,3455,15594
"Singapore Gasoil 10 PPM (Platts) vs. Singapore Gasoil (Platts) (STZ)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,700
"Singapore Jet Kerosene (Platts) (KS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,3295,3568
"Singapore Jet Kerosene (Platts) Average Price (N2)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,240
"Singapore Jet Kerosene (Platts) Balance of the Month (BX)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,100,100
"Singapore Jet Kerosene (Platts) Dubai (Platts) Crack Spread (KSD)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,75
"Singapore Jet Kerosene (Platts) vs. Gasoil (Platts) (RK)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,1565,5515
"Singapore Mogas 92 Unleaded (Platts) (1N)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,6378,11269
"Singapore Mogas 92 Unleaded (Platts) Balance of the Month (1P)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,57,57
"Singapore Mogas 92 Unleaded (Platts) Brent Crack Spread (1NB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,1297,2931
"Singapore Mogas 95 Unleaded (Platts) (V0)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,150
"Single Stock",Future,Equity,OneChicago,OCX,"United States","North America",2017,7,2017-7,1229472,589369
"Single Stock Dividend",Future,Equity,"Borsa Italiana (IDEM)",IDEM,Italy,Europe,2017,7,2017-7,87,59875
"Single Stock Dividend",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,210513,2501459
"Single Stock Dividend Plus",Future,Equity,MEFF,MEFF,Spain,Europe,2017,7,2017-7,0,540
"Single Stock Forwards/Futures",Future,Equity,"Oslo Stock Exchange",OSL,Norway,Europe,2017,7,2017-7,44558,139224
"SL-JGB 20 Year Japan Government Bond",Future,"Interest Rates","Japan Exchange",JPX,Japan,Asia,2017,7,2017-7,28,4
"Small British Pound Sterling/US Dollar",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,841,278
"SMI Index Dividend",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,100,1532
"Sorghum (SORG)",Future,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,4,9
"Sorghum Bitter GH1",Future,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,122,62
"South African Rand",Future,Currencies,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,2413,1017
"South African Rand",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,60009,21427
"South African Rand/Japanese Yen",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,388258,116364
"Southern Natural, Louisiana Natural Gas (Platts IFERC) Basis (SZ)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,306
"Southern Star, Tx.-Okla.-Kan. Natural Gas (Platts IFERC) Basis (8Z)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,200
"Soy Oil",Future,Agriculture,"National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,7,2017-7,108870,8109
"Soya (50t)",Option,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,1516,2245
"Soya (50t) (SOYA)",Future,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,22821,15644
"Soya Bean Crush (CRS)",Future,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,0,8
"Soyabean Seed",Future,Agriculture,"National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,7,2017-7,133115,11127
Soybean,Future,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,5287456,621496
Soybean,Future,Agriculture,"Mercado a Termino de Buenos Aires",MATBA,Argentina,"Latin America",2017,7,2017-7,14036,13575
Soybean,Future,Agriculture,"Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,7,2017-7,4341,3261
Soybean,Future,Agriculture,"Tokyo Commodity Exchange",TOCOM,Japan,Asia,2017,7,2017-7,1756,6452
Soybean,Option,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,2165807,717386
Soybean,Option,Agriculture,"Mercado a Termino de Buenos Aires",MATBA,Argentina,"Latin America",2017,7,2017-7,2675,5504
Soybean,Option,Agriculture,"North American Derivative Exchange",NADEX,"United States","North America",2017,7,2017-7,322,NULL
"Soybean Cash Settled ",Option,Agriculture,"Bolsa de Mercadorias & Futuros",BMF,Brazil,"Latin America",2017,7,2017-7,8,8
"Soybean Crush",Option,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,55,165
"Soybean Meal",Future,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,2356086,340187
"Soybean Meal",Future,Agriculture,"Dalian Commodity Exchange",DCE,China,Asia,2017,7,2017-7,17254514,1326637
"Soybean Meal",Option,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,235539,116180
"Soybean Meal",Option,Agriculture,"Dalian Commodity Exchange",DCE,China,Asia,2017,7,2017-7,548415,105343
"Soybean Nearby + 2 Calendar Spread",Option,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,0,10
"Soybean Oil",Future,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,2467604,406141
"Soybean Oil",Future,Agriculture,"Dalian Commodity Exchange",DCE,China,Asia,2017,7,2017-7,5466357,527100
"Soybean Oil",Option,Agriculture,"Chicago Board of Trade",CBOT,"United States","North America",2017,7,2017-7,112988,85572
"Special High Grade Zinc",Future,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,2396417,399158
"Special High Grade Zinc",Option,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,97324,129683
"Special High Grade Zinc TAPOS",Option,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,118,1701
"SPI 200",Future,Equity,"ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,774506,261769
"SPI 200",Option,Equity,"ASX 24","ASX 24",Australia,Asia,2017,7,2017-7,4545,82594
"Spot Gold",Future,Metals,"Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,7,2017-7,3093,228
"Standard Lead",Future,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,778158,127297
"Standard Lead",Option,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,4605,9821
"Steel Rebar",Future,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,5221,821
"Steel Rebar",Future,Metals,"Shanghai Futures Exchange",SHFE,China,Asia,2017,7,2017-7,82613778,2392507
"Steel Scrap",Future,Metals,"London Metal Exchange",LME,"United Kingdom",Europe,2017,7,2017-7,25904,5074
"Sterling Pound",Future,Currencies,"Dubai Gold & Commodities Exchange",DGCX,"United Arab Emirates",Asia,2017,7,2017-7,8673,1132
STIBOR-FRA,Future,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,402750,911750
STIBOR-FRA,Option,"Interest Rates","Nasdaq Exchanges Nordic Markets",OMX,Sweden,Europe,2017,7,2017-7,0,40000
"Stock Dividend",Future,Equity,"Euronext Derivatives Market",EURONEXT,"United Kingdom",Europe,2017,7,2017-7,344,11719
"Stock Dividend",Future,Equity,MEFF,MEFF,Spain,Europe,2017,7,2017-7,1300,97498
"Stoxx Europe 50 Index",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,38318,33512
"Stoxx Europe 50 Index",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,3804,16368
"Stoxx Europe 600",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,619688,280231
"Stoxx Europe 600",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,59094,176144
"Stoxx Europe 600 Automobiles & Parts",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,35661,15253
"Stoxx Europe 600 Automobiles & Parts",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,17141,17254
"Stoxx Europe 600 Banks",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,143393,118979
"Stoxx Europe 600 Banks",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,5503,71368
"Stoxx Europe 600 Basic Resources",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,97646,84039
"Stoxx Europe 600 Basic Resources",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,12177,22108
"Stoxx Europe 600 Chemicals",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2438,1877
"Stoxx Europe 600 Construction & Materials",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,3105,4553
"Stoxx Europe 600 Financial Services",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1880,8296
"Stoxx Europe 600 Financial Services",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,10,11
"Stoxx Europe 600 Food & Beverage",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,5356,11760
"Stoxx Europe 600 Healthcare",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,8923,13317
"Stoxx Europe 600 Healthcare",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,675,3628
"Stoxx Europe 600 Industrial Goods & Services",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,23952,19492
"Stoxx Europe 600 Industrial Goods & Services",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,20,14023
"Stoxx Europe 600 Insurance",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,24341,23238
"Stoxx Europe 600 Insurance",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,215
"Stoxx Europe 600 Media",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,3396,3814
"Stoxx Europe 600 Media",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,30,40
"Stoxx Europe 600 Oil & Gas",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,79654,56292
"Stoxx Europe 600 Oil & Gas",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,71912,145128
"Stoxx Europe 600 Oil & Gas Index Dividend",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,200
"Stoxx Europe 600 Personal & Household Goods",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,6532,5074
"Stoxx Europe 600 Personal & Household Goods",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,6
"Stoxx Europe 600 Real Estate",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,5431,7964
"Stoxx Europe 600 Retail",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,3929,4405
"Stoxx Europe 600 Technology",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,8963,11426
"Stoxx Europe 600 Telecom",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,27194,17932
"Stoxx Europe 600 Telecommunications",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,404,10471
"Stoxx Europe 600 Travel & Leisure",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,3548,3241
"Stoxx Europe 600 Utilities",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,34750,42459
"Stoxx Europe 600 Utilities",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,1922,3830
"Stoxx Europe Large 200",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2250,4190
"Stoxx Europe Mid 200",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,2787,13499
"Stoxx Europe Mid 200",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,4912,1765
"Stoxx Europe Small 200",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,9515,30481
"Stoxx Europe Small 200 Index",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,6525
"Stoxx Global Select Dividend 100 Index",Future,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,336
"Stoxx Global Select Dividend 100 Index",Option,Equity,Eurex,EUREX,Germany,Europe,2017,7,2017-7,0,9738
"Strong Gluten Wheat (WH)",Future,Agriculture,"Zhengzhou Commodity Exchange",ZCE,China,Asia,2017,7,2017-7,19235,4180
Sugar,Future,Agriculture,"National Commodity & Derivatives Exchange",NCDEX,India,Asia,2017,7,2017-7,112,34
"Sugar #11",Future,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,1858979,765059
"Sugar #16",Future,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,8062,8647
"Sugar (cash settled - SA)",Future,Agriculture,"Moscow Exchange",MOEX,Russia,Europe,2017,7,2017-7,26,30
"Sugar No. 11",Option,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,359812,521482
"Sugar No. 11 1 Month",Option,Agriculture,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,200,1950
"Sumas Natural Gas (Platts IFERC) Basis (NK)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,550,8299
"Sumas Natural Gas (Platts IFERC) Fixed Price (DVS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,306,306
"Sunflower Seed (SUNS)",Future,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,25161,13066
"Sunflower Seed (SUNS)",Option,Agriculture,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,3109,4327
"Supramax Dry Freight",Future,Other,"Nasdaq Commodities",NOC,Sweden,Europe,2017,7,2017-7,3101,14760
"Supramax Dry Freight",Option,Other,"Nasdaq Commodities",NOC,Sweden,Europe,2017,7,2017-7,0,4740
"Swapnote € - 10 Year",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,165,1304
"Swapnote € - 2 Year",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,7846,12237
"Swapnote € - 5 Year",Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,4686,9127
"Sweden Krona/Japanese Yen",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,3119,389
"Swedish Krona",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,1203,1629
"Swedish Krona/Japanese Yen",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,36,26
