Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Euro/Australian Dollar 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,788,501
"Euro/British Pound",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,52024,33115
"Euro/British Pound",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,4701,1911
"Euro/British Pound 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,376,453
"Euro/Canadian Dollar",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,3512,1751
"Euro/Canadian Dollar 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,291,58
"Euro/Hungarian Forint",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,2682,3382
"Euro/Indian Rupee",Future,Currencies,"National Stock Exchange of India",NSE,India,Asia,2017,7,2017-7,1609196,150348
"Euro/Japanese Yen",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,58295,25048
"Euro/Japanese Yen",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,191429,74462
"Euro/Japanese Yen (Large)",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,355,40
"Euro/Japanese Yen 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,407,632
"Euro/Norwegian Krone",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,160,22
"Euro/Norwegian Krone 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,2623,1649
Euro/Rand,Future,Currencies,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,96417,147137
Euro/Rand,Option,Currencies,"JSE Securities Exchange",JSE,"South Africa",Other,2017,7,2017-7,39145,61158
"Euro/South African Rand",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,52,38
"Euro/Swedish Krona",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,755,819
"Euro/Swedish Krona 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,4401,2643
