Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Date,Volume,Open_Interest
Mini Low Sulphur Gasoil (10 MT),Future,Energy,ICE Futures Singapore,ICE Futures Singapore,IFSG,Singapore,Asia,2017,8,2017-08,8/1/2017,400,130
Mini MSCI ACWI NTR,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,11001,53527
Mini MSCI Canada Index,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,0,1
Mini MSCI EAFE Index,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,363769,348259
Mini MSCI EM Asia NTR,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,138025,128231
Mini MSCI Emerging Markets,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,1357093,1128985
Mini MSCI Emerging Markets,Option,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,0,600
Mini MSCI Emerging Markets Latin America Index,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,428,216
Mini MSCI Europe Index,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,0,605
Mini MSCI Pan Euro Index,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,0,5846
Mini MSCI World Index,Future,Equity,ICE Futures U.S.,Intercontinental Exchange,IFUS,United States,North America,2017,8,2017-08,8/1/2017,12,231
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,Chicago Board Options Exchange,CBOE Holdings,CBOE,United States,North America,2017,8,2017-08,8/1/2017,280,
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,International Securities Exchange,Eurex,ISE,United States,North America,2017,8,2017-08,8/1/2017,36,
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,International Securities Exchange Gemini,Eurex,ISE GEMINI,United States,North America,2017,8,2017-08,8/1/2017,157,
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,NYSE Amex,Intercontinental Exchange,AMEX,United States,North America,2017,8,2017-08,8/1/2017,18,
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,NYSE Arca,Intercontinental Exchange,ARCA,United States,North America,2017,8,2017-08,8/1/2017,18,
Mini Nasdaq Non-Financial 100 Index (MNX),Option,Equity,OCC,OCC,OCC,United States,North America,2017,8,2017-08,8/1/2017,,4247
Mini Nikkei 225,Future,Equity,Singapore Exchange,Singapore Exchange,SGX,Singapore,Asia,2017,8,2017-08,8/1/2017,40008,1563
Mini RBOB Gasoline vs. Gasoline Euro-Bob Oxy NWE Barges (Argus) (MXB),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,2887,4184
Mini RBOB Gasoline vs. Gasoline Euro-Bob Oxy NWE Barges (Argus) Balance of the Month (MXR),Future,Energy,New York Mercantile Exchange,CME Group,NYMEX,United States,North America,2017,8,2017-08,8/1/2017,1135,1085
Mini S&P 500 Index (XSP),Option,Equity,Chicago Board Options Exchange,CBOE Holdings,CBOE,United States,North America,2017,8,2017-08,8/1/2017,357382,
Mini S&P 500 Index (XSP),Option,Equity,OCC,OCC,OCC,United States,North America,2017,8,2017-08,8/1/2017,,484578
Mini S&P/MIB Index,Future,Equity,Borsa Italiana (IDEM),London Stock Exchange Group,IDEM,Italy,Europe,2017,8,2017-08,8/1/2017,231202,4637
