Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Montreal Exchange,Banking Index (SXB),April,2010,2010-04,8,
Montreal Exchange,Banking Index (SXB),March,2010,2010-03,8,
Montreal Exchange,Banking Index (SXB),May,2009,2009-05,8,
New York Board of Trade,BFP Milk,February,2000,2000-02,7,
Chicago Board of Trade,$25 Dow Jones Industrial Index,October,2011,2011-10,7,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),December,2009,2009-12,7,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),May,2008,2008-05,7,
Chicago Mercantile Exchange,Boneless Beef Trimmings,October,1998,1998-10,6,
Chicago Mercantile Exchange,Boneless Beef Trimmings,November,1998,1998-11,6,
"Coffee, Sugar & Cocoa Exchange",Brazil Diff Coffee,January,1993,1993-01,6,
Chicago Board of Trade,$25 Dow Jones Industrial Index,March,2012,2012-03,6,
Budapest Commodity Exchange,BL-55 Flour,September,1995,1995-09,6,
Eurex,Butter Futures,October,2011,2011-10,6,
"Coffee, Sugar & Cocoa Exchange",Brazil Diff Coffee,February,1993,1993-02,5,
Chicago Board of Trade,$25 Dow Jones Industrial Index,April,2012,2012-04,5,
Chicago Mercantile Exchange,British Pound/Japanese Yen,May,2003,2003-05,5,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),March,2010,2010-03,5,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),October,2009,2009-10,5,
Chicago Mercantile Exchange,Argentine FRB Bond,February,1998,1998-02,5,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),June,2007,2007-06,5,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),July,2009,2009-07,5,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),August,2009,2009-08,5,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),November,2010,2010-11,5,
Eurex US,2 Year Treasury Note,May,2004,2004-05,5,
Nyse Liffe U.S.,"5,000 oz. Silver",February,2012,2012-02,5,
Budapest Stock Exchange,Ammonium Nitrate,July,2009,2009-07,5,
Budapest Stock Exchange,Ammonium Nitrate,July,2008,2008-07,5,
Budapest Stock Exchange,Ammonium Nitrate,March,2007,2007-03,5,
Eurex,Butter Futures,September,2010,2010-09,5,
Budapest Commodity Exchange,BL-55 Flour,June,1996,1996-06,5,
Budapest Commodity Exchange,BL-55 Flour,May,1996,1996-05,5,
Eurex,Butter Futures,August,2012,2012-08,5,
Eurex,Butter Futures,September,2012,2012-09,5,
ICE Futures Canada,Barley,December,2012,2012-12,5,
Eurex,Butter Futures,June,2012,2012-06,5,
Chicago Board of Trade,$25 Dow Jones Industrial Index,February,2012,2012-02,4,
Chicago Mercantile Exchange,British Pound/Japanese Yen,August,2006,2006-08,4,
Chicago Mercantile Exchange,British Pound/Japanese Yen,September,2005,2005-09,4,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),December,2010,2010-12,4,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),September,2008,2008-09,4,
Chicago Board Options Exchange,30 Year Interest Rate (TYX),October,2010,2010-10,4,
Nyse Liffe U.S.,"5,000 oz. Silver",May,2010,2010-05,4,
Nyse Liffe U.S.,"5,000 oz. Silver",October,2010,2010-10,4,
Budapest Stock Exchange,Ammonium Nitrate,February,2009,2009-02,4,
Budapest Stock Exchange,Ammonium Nitrate,November,2007,2007-11,4,
Montreal Exchange,Banking Index (SXB),December,2009,2009-12,4,
Montreal Exchange,Banking Index (SXB),September,2009,2009-09,4,
Montreal Exchange,Banking Index (SXB),March,2009,2009-03,4,
Montreal Exchange,Banking Index (SXB),December,2008,2008-12,4,
Minneapolis Grain Exchange,Barley,November,1997,1997-11,3,
Minneapolis Grain Exchange,Barley,October,1997,1997-10,3,
Chicago Board of Trade,$25 Dow Jones Industrial Index,May,2012,2012-05,3,
Chicago Mercantile Exchange,British Pound/Japanese Yen,June,2002,2002-06,3,
Chicago Mercantile Exchange,British Pound/Japanese Yen,October,2004,2004-10,3,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),February,2010,2010-02,3,
Chicago Board of Trade,7 Year Interest Rate Swap,June,2012,2012-06,3,
Chicago Board of Trade,7 Year Interest Rate Swap,May,2012,2012-05,3,
New York Mercantile Exchange,Australian Coke Coal (ALW),November,2011,2011-11,3,
New York Mercantile Exchange,Australian Coke Coal (ALW),January,2012,2012-01,3,
New York Mercantile Exchange,Australian Coke Coal (ALW),May,2012,2012-05,3,
Nyse Liffe U.S.,"5,000 oz. Silver",April,2011,2011-04,3,
Nyse Liffe U.S.,"5,000 oz. Silver",February,2011,2011-02,3,
Nyse Liffe U.S.,"5,000 oz. Silver",June,2010,2010-06,3,
Eurex,Butter Futures,June,2010,2010-06,3,
National Commodity & Derivatives Exchange,Barley,January,2009,2009-01,3,
