Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"US Dollar",Future,Currencies,"Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,22767,1975
"US Dollar",Future,Currencies,"Korea Exchange","Korea Exchange",KRX,"South Korea",Asia,2017,09,2017-09,4968226,739029
"US Dollar",Future,Currencies,"Rosario Futures Exchange","Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,09,2017-09,14320822,2591731
"US Dollar",Future,Currencies,"Thailand Futures Exchange","Thailand Futures Exchange",TFEX,Thailand,Asia,2017,09,2017-09,58475,14199
"US Dollar",Option,Currencies,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,794895,871337
"US Dollar (DLR)",Option,Currencies,"Rosario Futures Exchange","Rosario Futures Exchange",ROFEX,Argentina,"Latin America",2017,09,2017-09,2602,10522
"US Dollar (USX)",Option,Currencies,"Montreal Exchange","TMX Group",MX,Canada,"North America",2017,09,2017-09,1933,586
"US Dollar forward points",Future,Currencies,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,395175,0
"US Dollar Index",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,787212,46378
"US Dollar Index",Option,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,405,538
"US Dollar Option Volatility",Option,Currencies,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,1835,0
"US Dollar Rollover",Future,Currencies,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,1326370,0
"US Dollar Settled Australian Dollar (XDA)",Option,Currencies,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,853,NULL
"US Dollar Settled Australian Dollar (XDA)",Option,Currencies,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,365
"US Dollar Settled British Pound (XDB)",Option,Currencies,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,240,NULL
"US Dollar Settled British Pound (XDB)",Option,Currencies,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,920
"US Dollar Settled Canadian Dollar (XDC)",Option,Currencies,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,1535,NULL
"US Dollar Settled Canadian Dollar (XDC)",Option,Currencies,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,3750
"US Dollar Settled Euro (XDE)",Option,Currencies,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,1113,NULL
"US Dollar Settled Euro (XDE)",Option,Currencies,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,2374
"US Dollar Settled Japanese Yen (XDN)",Option,Currencies,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,808,NULL
"US Dollar Settled Japanese Yen (XDN)",Option,Currencies,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,425
"US Dollar Settled New Zealand Dollar (XDZ)",Option,Currencies,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,4,NULL
"US Dollar Settled Swiss Franc (XDS)",Option,Currencies,"Nasdaq PHLX",Nasdaq,PHLX,"United States","North America",2017,09,2017-09,26,NULL
"US Dollar Settled Swiss Franc (XDS)",Option,Currencies,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,24
"US Dollar/Canadian Dollar",Future,Currencies,"Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,7339,752
"US Dollar/Czech Koruna",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,1116,607
"US Dollar/Hungarian Forint",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,2979,739
"US Dollar/Indian Rupee",Future,Currencies,BSE,BSE,"BSE India",India,Asia,2017,09,2017-09,30158604,982806
"US Dollar/Indian Rupee",Future,Currencies,"Metropolitan Stock Exchange of India","Metropolitan Stock Exchange of India",MSEI,India,Asia,2017,09,2017-09,1189396,231419
