Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Mini MSCI Emerging Markets",Future,Equity,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,4052534,1064846
"Mini MSCI Emerging Markets",Option,Equity,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,0,600
"Mini MSCI Emerging Markets Latin America Index",Future,Equity,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,1057,81
"Mini MSCI Europe Index",Future,Equity,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,3,3
"Mini MSCI Pan Euro Index",Future,Equity,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,7379,1533
"Mini MSCI World Index",Future,Equity,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,93,39
"Mini Nasdaq Non-Financial 100 Index (MNX)",Option,Equity,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,31,NULL
"Mini Nasdaq Non-Financial 100 Index (MNX)",Option,Equity,"International Securities Exchange",Eurex,ISE,"United States","North America",2017,09,2017-09,167,NULL
"Mini Nasdaq Non-Financial 100 Index (MNX)",Option,Equity,"International Securities Exchange Gemini",Eurex,"ISE GEMINI","United States","North America",2017,09,2017-09,15,NULL
"Mini Nasdaq Non-Financial 100 Index (MNX)",Option,Equity,"NYSE Arca","Intercontinental Exchange",ARCA,"United States","North America",2017,09,2017-09,5,NULL
"Mini Nasdaq Non-Financial 100 Index (MNX)",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,3143
"Mini Nikkei 225",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,35552,555
"Mini Offshore Renminbi",Future,Currencies,"ICE Futures Singapore","ICE Futures Singapore",IFSG,Singapore,Asia,2017,09,2017-09,150,50
"Mini Onshore Renminbi",Future,Currencies,"ICE Futures Singapore","ICE Futures Singapore",IFSG,Singapore,Asia,2017,09,2017-09,2,0
"Mini RBOB Gasoline vs. Gasoline Euro-Bob Oxy NWE Barges (Argus) (MXB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,992,2250
"Mini RBOB Gasoline vs. Gasoline Euro-Bob Oxy NWE Barges (Argus) Balance of the Month (MXR)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1000,1000
"Mini S&P 500 Index (XSP)",Option,Equity,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,231964,NULL
"Mini S&P 500 Index (XSP)",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,483163
"Mini S&P/MIB Index",Future,Equity,"Borsa Italiana (IDEM)","London Stock Exchange Group",IDEM,Italy,Europe,2017,09,2017-09,188382,4417
"Mini Silver",Future,Metals,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,4823,1425
"Mini Singapore Fuel Oil 180 CST (Platts) (0F)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,616,1361
"Mini Singapore Fuel Oil 180 CST (Platts) Balance of the Month (5L)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,55,55
"Mini Singapore Fuel Oil 380 CST (Platts) (MTS)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,5383,9769
"Mini Singapore Fuel Oil 380 CST (Platts) Balance of the Month (MTB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,75,65
"Mini Singapore Fuel Oil 380 CST (Platts) vs. European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (MSB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,20
"Mini Singapore Gasoil (Platts) (MSG)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,87,150
"Mini Soybean",Future,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,14194,15570
"Mini Taiex (MTX)",Future,Equity,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,2157656,38608
"Mini ULSD 10 PPM Cargoes CIF MED (Platts) vs. Low Sulphur Gasoil (UCM)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,114
"Mini ULSD 10 PPM Cargoes CIF NWE (Platts) vs. Low Sulphur Gasoil (MGN)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,25,409
"Mini US Dollar",Future,Currencies,B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,12777310,90533
"Mini US Dollar",Future,Currencies,"Bolsa de Valores de Colombia","Bolsa de Valores de Colombia",BVC,Colombia,"Latin America",2017,09,2017-09,7907,622
"Mini US Dollar Index",Future,Currencies,"ICE Futures Singapore","ICE Futures Singapore",IFSG,Singapore,Asia,2017,09,2017-09,196,55
"Mini VSTOXX",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,896417,322770
"Mini Wheat",Future,Agriculture,"Chicago Board of Trade","CME Group",CBOT,"United States","North America",2017,09,2017-09,4046,2155
"Mini WTI Crude",Future,Energy,"ICE Futures Singapore","ICE Futures Singapore",IFSG,Singapore,Asia,2017,09,2017-09,44061,4621
"Mini-ASX SPI 200",Future,Equity,"ASX 24",ASX,"ASX 24",Australia,Asia,2017,09,2017-09,745,35
Mini-DAX,Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,474596,8104
Mini-Topix,Future,Equity,"Japan Exchange","Japan Exchange",JPX,Japan,Asia,2017,09,2017-09,384981,51807
"miNY Gold (QO)",Future,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,9049,797
"miNY Silver (QI)",Future,Metals,"Commodity Exchange (COMEX)","CME Group",COMEX,"United States","North America",2017,09,2017-09,419,105
"MISO Indiana Hub (formerly Cinergy Hub) 5 Month Peak Calendar-Month Real-Time (H3)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,440,42145
"MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Off-Peak Calendar-Month 5 MW (K2)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,47400,230056
"MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Peak Calendar-Month 5 MW (H5)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,2963,11121
"MISO Indiana Hub (formerly Cinergy Hub) Off-Peak LMP (EJ)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,120
"MISO Indiana Hub (formerly Cinergy Hub) Real-Time Off-Peak Calendar-Month 5 MW (H4)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,547240
"MISO Indiana Hub (formerly Cinergy Hub) Real-Time Peak Calendar-Month 2.5 MW (EM)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,288
"MISO Indiana Hub Day-Ahead Off-Peak Calendar-Day 5 MW (FAD)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,40544
"MISO Indiana Hub Day-Ahead Off-Peak Financial (50 MWH) (MCDQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,392,21432
"MISO Indiana Hub Day-Ahead Peak Calendar-Day 5 MW (PDD)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,2198
"MISO Indiana Hub Day-Ahead Peak Financial (5 MW) (MCBQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,0,1275
"MISO Indiana Hub Day-Ahead Peak Financial (50 MW) (MCCQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,22,791
"MISO Indiana Hub Real-Time Off-Peak Calendar-Day 5 MW (FTD)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,9480
"MISO Indiana Hub Real-Time Off-Peak Financial (50 MWH) (CPOQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,5072,20484
"MISO Indiana Hub Real-Time Off-Peak Mini Financial (5 MWh) (CPMQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,8888,8888
"MISO Indiana Hub Real-Time Peak Calendar-Day 5 MW (PTD)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,413
"MISO Indiana Hub Real-Time Peak Financial (50 MW) (CINQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,44,1489
"MISO Indiana Hub Real-Time Peak Mini Financial (5 MW) (MCHQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,1516,7720
"MISO Michigan Hub 5 MW Off-Peak Calendar-Month Day-Ahead (HMO)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,47400,104760
"MISO Michigan Hub 5 MW Peak Calendar-Month Day-Ahead (HMW)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,2535,6350
"MISO Minnesota Hub Peak Day-Ahead Mini Financial (5 MW) (MPIQ)",Future,Energy,"Nasdaq NFX",Nasdaq,NFX,"United States","North America",2017,09,2017-09,220,220
"Mont Belvieu Ethane (OPIS) (C0)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,17938,74617
"Mont Belvieu Ethane (OPIS) Average Price (4J)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,100,2440
"Mont Belvieu Ethane (OPIS) Balance of the Month (8C)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,150,150
"Mont Belvieu Ethylene (PCW) Balance of the Month (MBB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,20,20
"Mont Belvieu Ethylene (PCW) Financial (MBN)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1220,2875
"Mont Belvieu Iso-Butane (OPIS) (8I)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,436,4147
"Mont Belvieu LDH Iso-Butane (OPIS) (MBL)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,0,160
"Mont Belvieu LDH Propane (OPIS) (B0)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,95265,111716
"Mont Belvieu LDH Propane (OPIS) Average Price (4H)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,2168,5593
"Mont Belvieu LDH Propane (OPIS) Balance of the Month (8O)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1487,1200
"Mont Belvieu Natural Gasoline (OPIS) (7Q)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,6110,10997
"Mont Belvieu Natural Gasoline (OPIS) Balance of the Month (R0)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,599,557
"Mont Belvieu Normal Butane (OPIS) (D0)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,25548,40842
"Mont Belvieu Normal Butane (OPIS) Average Price (4K)",Option,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,800,700
"Mont Belvieu Normal Butane (OPIS) Balance of the Month (8J)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,276,246
"Mont Belvieu Normal Butane LDH (OPIS) (MNB)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,2165,3545
"Mont Belvieu Spot Ethylene In-Well (MBE)",Future,Energy,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,1570,900
"MR26 Bond",Future,"Interest Rates","Mexican Derivatives Exchange","BMV Group",MEXDER,Mexico,"Latin America",2017,09,2017-09,12200,6100
"MSCI AC Asia Pacific ex Japan",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,5851,2709
"MSCI AC Asia Pacific Ex Japan",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,318,159
"MSCI ACWI",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,554,263
"MSCI All Countries Asia Ex Japan Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,42486,20429
"MSCI Australia (FMAU)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,61172,33529
"MSCI AWI NTR Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,84684,59082
"MSCI Brazil Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,29297,21541
"MSCI Canada GTR (USD)(FMGC)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,36870,20169
"MSCI Canada NTR (USD) (FMCA)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,16,10
"MSCI Chile",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,15913,5660
"MSCI China Free",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,55412,114576
"MSCI China Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,2004,81
"MSCI Colombia",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1972,938
"MSCI Czech Rep (FMCZ)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,436,378
"MSCI EAFE (MXEA)",Option,Equity,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,4588,NULL
"MSCI EAFE (MXEA)",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,22628
"MSCI EAFE NTR (USD) (FMFA)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,760,1553
"MSCI EAFE Price Index (FMFP)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,4625,7267
"MSCI EAFE Price Index (OMFP)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,6318,31740
"MSCI Egypt",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,314,109
"MSCI EM Lat Am Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,0,24
"MSCI Emerging Markets",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,124458,85583
"MSCI Emerging Markets (EM) Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,259330,144283
"MSCI Emerging Markets Asia",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,62087,212513
"MSCI Emerging Markets Asia (OMEA)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,2975,11362
"MSCI Emerging Markets EMEA",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,82623,61055
"MSCI Emerging Markets Index (MXEF)",Option,Equity,"Chicago Board Options Exchange","CBOE Holdings",CBOE,"United States","North America",2017,09,2017-09,12758,NULL
"MSCI Emerging Markets Index (MXEF)",Option,Equity,OCC,OCC,OCC,"United States","North America",2017,09,2017-09,NULL,11638
"MSCI Emerging Markets Latin America",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,81686,36643
"MSCI Emerging Markets Net TR EUR Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,30253,18178
"MSCI Emerging Markets NTR (EUR) (OMEN)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,0,11643
"MSCI Emerging Markets NTR (USD) (OMEM)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,21059,52434
"MSCI Emerging Markets USD (OMEF)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,22197,55258
"MSCI EMU Net Total Return EUR - Standard Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,0,10414
"MSCI EMU NTR (EUR) (FMMU)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,14223,7099
"MSCI Europe",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,172142,57474
"MSCI Europe",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,0,3623
"MSCI Europe (FMEF)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,5788,24185
"MSCI Europe (FMEN)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,2575,6080
"MSCI Europe (FMEP)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,196,4484
"MSCI Europe Consumer Disc NTR (EUR) Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,865,440
"MSCI Europe Ex UK Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,297,149
"MSCI Europe Financials NTR (EUR) Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,548,274
"MSCI Europe Growth (FMEG)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,3953,2176
"MSCI Europe GTR (USD) (FMGU)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,0,3708
"MSCI Europe Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,91985,40518
"MSCI Europe Materials NTR (EUR) Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,652,327
"MSCI Europe Net Total Return EUR Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,136953,37416
"MSCI Europe NTR (USD) (FMED)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,52990,66736
"MSCI Europe Value (FMEV)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1690,845
"MSCI France GTR (EUR) (FMGF)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,23180,11590
"MSCI Hong Kong",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,10231,9071
"MSCI Hungary (FMHU)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,94,47
"MSCI India (FMIN)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,7527,3292
"MSCI India Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,36790,63656
"MSCI India Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,1550,259
"MSCI India NTR Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,9406,936
"MSCI Indonesia",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,28766,24455
"MSCI Indonesia Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,23069,5505
"MSCI Japan GTR (FMJG)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,19,10
"MSCI Japan Index",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,101047,118624
"MSCI Japan Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,250,121
"MSCI Kokusai (FMKN)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,10,10
"MSCI Malaysia",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,15051,16266
"MSCI Malaysia Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,61,61
"MSCI Mexico",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,29910,18116
"MSCI New Zealand (FMNZ)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,280,277
"MSCI North America GTR (USD) (FMGA)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,5,0
"MSCI North America NTR (USD) (FMNA)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,60073,30085
"MSCI Pacific ex Japan Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,86021,37228
"MSCI Pacific Ex-Japan (FMPX)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,17,1704
"MSCI Pacific NTR (USD) (FMAP)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,862,441
"MSCI Pacific NTR (USD) (FMPA)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,23550,11010
"MSCI Peru (FMPE)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,702,351
"MSCI Philippines",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,6892,6116
"MSCI Poland",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,3689,2753
"MSCI PSE Philippines",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,36,0
"MSCI Qatar",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,4660,2394
"MSCI Russia",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,14504,10044
"MSCI Russia Index",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,483,1666
"MSCI Singapore (FMSI)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,3064,1373
"MSCI Singapore Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,871774,199771
"MSCI South Africa",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,28230,14009
"MSCI South African Index (MXZA)",Future,Equity,"JSE Securities Exchange","JSE Securities Exchange",JSE,"South Africa",Other,2017,09,2017-09,2379,7710
"MSCI Switzerland Net Total Return CHF - Standard Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,264,2837
"MSCI Taiwan (FMTW)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,331,0
"MSCI Taiwan Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,1683827,227754
"MSCI Taiwan Index",Option,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,1000,2335
"MSCI Thailand",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,35993,22392
"MSCI Thailand Index",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,5,4
"MSCI UAE",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1779,1278
"MSCI UK",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1,42
"MSCI UK NTR (USD) (FMDK)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,42176,21923
"MSCI USA (FMUS)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,5347,2767
"MSCI USA (GTR, USD) (FMGS)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,15,5
"MSCI USA Equal Weighted NTR (USD) (FMUE)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,1300,793
"MSCI USA Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,550,906
"MSCI USA Momentum NTR (USD) (FMUM)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,2870,1435
"MSCI USA Quality NTR (USD) (FMUQ)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,2702,1351
"MSCI USA Value Weighted NTR (USD) (FMUV)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,9146,3789
"MSCI World",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,23429,53578
"MSCI World (FMWN)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,135632,23091
"MSCI World (FMWO)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,111832,39375
"MSCI World (FMWP)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,2261,10543
"MSCI World (OMWP)",Option,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,3786,18981
"MSCI World Consumer Disc NTR (USD) Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,315,15
"MSCI World Consumer Stap NTR (USD) Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,19305,9993
"MSCI World Energy Net TR USD Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,2984,2153
"MSCI World Financials Net TR USD Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,31621,13266
"MSCI World GTR (EUR) (FMWE)",Future,Equity,Eurex,Eurex,EUREX,Germany,Europe,2017,09,2017-09,134,50
"MSCI World Health Care Net TR USD Index",Future,Equity,"ICE Futures Europe","Intercontinental Exchange",IFEU,"United Kingdom",Europe,2017,09,2017-09,1041,503
